Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11925-MAH,Female,80.73,Yes,Maharashtra,11.83,12.31,,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,24.61,1301.63,0.0,0.0,1623.16,2817.3,Stayed,,
87346-MAD,Female,29.37,Yes,Madhya Pradesh,12.49,20.45,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.44,1265.0,0.0,0.0,584.89,1767.89,Churned,Other,Don't know
86818-MAH,Female,29.27,Yes,Maharashtra,8.36,22.51,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.99,1817.4,0.0,0.0,809.51,2613.32,Stayed,,
57256-BIH,Female,18.5,No,Bihar,9.35,6.92,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.33,58.86,0.0,0.0,9.3,69.48,Joined,,
65431-CHH,Female,32.04,No,Chhattisgarh,11.7,23.88,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.87,79.84,0.0,0.0,49.48,130.93,Churned,Price,Long distance charges
13829-PUN,Female,33.4,Yes,Punjab,11.66,26.13,,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,29.62,31.49,0.0,0.0,0.0,31.04,Churned,Attitude,Attitude of service provider
19279-UTT,Female,36.01,No,Uttar Pradesh,14.47,18.52,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,107.5,5649.36,0.0,20.83,1937.94,7692.26,Stayed,,
27129-TAM,Male,46.19,Yes,Tamil Nadu,0.0,23.56,,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20.45,1068.89,0.0,0.0,1113.76,2256.8,Stayed,,
81327-JHA,Female,68.79,Yes,Jharkhand,5.92,2.95,Deal 3,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.27,469.49,20.88,0.0,1018.09,1497.3,Stayed,,
42012-UTT,Female,47.99,No,Uttar Pradesh,7.76,1.96,,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.49,1415.67,0.0,0.0,2667.91,4178.81,Stayed,,
79321-MAH,Female,21.56,Yes,Maharashtra,4.05,7.91,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,89.53,3186.69,0.0,0.0,1628.9,4777.09,Stayed,,
82811-HAR,Female,47.52,Yes,Haryana,2.08,17.5,Deal 2,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.93,942.74,0.0,0.0,2459.78,3424.65,Stayed,,
36568-HAR,Male,26.88,Yes,Haryana,7.12,8.37,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7858.85,0.0,0.0,2943.85,10928.24,Stayed,,
62683-UTT,Female,30.33,No,Uttar Pradesh,12.0,20.41,,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.99,1399.25,30.57,0.0,1598.28,2955.99,Stayed,,
18223-MAD,Male,31.52,No,Madhya Pradesh,14.05,2.09,,No,,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.69,804.35,0.0,0.0,0.0,847.22,Stayed,,
41111-MAH,Female,33.0,No,Maharashtra,10.08,7.88,,Yes,Yes,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.18,1052.03,0.0,0.0,1290.5,2398.23,Stayed,,
74542-MAH,Female,41.66,No,Maharashtra,15.69,16.22,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.96,4880.9,0.0,0.0,279.32,5204.39,Stayed,,
18842-HAR,Male,56.47,Yes,Haryana,2.09,30.19,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.24,5507.74,0.0,0.0,938.69,6558.81,Stayed,,
12210-DEL,Female,50.89,No,Delhi,0.0,30.97,,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.56,231.76,0.0,0.0,228.52,472.59,Stayed,,
76566-UTT,Male,60.02,No,Uttar Pradesh,1.03,20.81,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.02,1991.29,0.0,0.0,700.94,2703.83,Stayed,,
73036-JAM,Female,67.34,Yes,Jammu & Kashmir,9.87,20.85,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,48.06,89.94,0.0,0.0,90.24,180.19,Churned,Competitor,Competitor made better offer
42964-MAH,Female,24.35,Yes,Maharashtra,2.96,24.87,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,76.84,2160.14,0.0,0.0,1305.89,3411.51,Stayed,,
18220-JHA,Male,36.48,No,Jharkhand,11.86,19.43,,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.59,644.05,46.55,0.0,614.42,1181.44,Stayed,,
47645-PUN,Male,49.48,Yes,Punjab,15.67,14.39,,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,64.01,1606.5,45.54,0.0,163.27,1709.42,Stayed,,
82015-UTT,Female,51.51,No,Uttar Pradesh,7.34,23.87,,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.28,1235.69,12.64,0.0,0.0,1216.49,Stayed,,
15644-ASS,Female,22.32,No,Assam,6.24,3.07,,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,87.08,6598.77,0.0,0.0,2370.09,8394.93,Stayed,,
24801-WES,Female,61.74,Yes,West Bengal,11.81,28.59,,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,52.12,757.91,0.0,0.0,349.88,1105.36,Stayed,,
85794-JHA,Female,35.62,No,Jharkhand,4.95,3.99,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.08,3660.09,0.0,0.0,1253.36,4871.88,Stayed,,
72357-MAD,Female,54.9,No,Madhya Pradesh,14.2,12.29,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.98,43.98,0.0,0.0,45.08,87.6,Joined,,
28648-DEL,Male,55.81,Yes,Delhi,3.01,14.14,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.91,2628.73,0.0,20.2,58.96,2655.43,Stayed,,
85682-UTT,Female,26.67,No,Uttarakhand,3.13,20.86,,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,80.92,5492.13,0.0,39.11,355.47,6070.58,Stayed,,
93096-AND,Male,32.15,Yes,Andhra Pradesh,9.39,14.49,,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,97.71,3875.88,0.0,0.0,988.12,4638.39,Stayed,,
49974-RAJ,Female,76.49,No,Rajasthan,4.06,28.64,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,93.63,3763.75,0.0,0.0,1786.64,5504.43,Stayed,,
36405-CHH,Male,47.79,No,Chhattisgarh,9.41,26.71,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.43,3967.11,0.0,0.0,1499.35,5496.78,Churned,Competitor,Competitor had better devices
22439-RAJ,Female,76.12,Yes,Rajasthan,4.11,1.0,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,97.49,1148.38,0.0,125.3,132.41,1387.63,Churned,Dissatisfaction,Product dissatisfaction
33514-UTT,Female,28.8,Yes,Uttar Pradesh,1.95,3.09,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.9,325.02,0.0,0.0,258.26,556.01,Stayed,,
21555-JHA,Female,53.0,No,Jharkhand,14.97,32.99,,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,67.26,1853.53,0.0,0.0,81.03,2054.81,Stayed,,
46640-PUN,Male,32.36,Yes,Punjab,8.33,31.75,,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,18.96,525.12,0.0,0.0,558.39,1119.08,Stayed,,
23376-TAM,Female,68.86,No,Tamil Nadu,3.08,16.33,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,107.91,7625.92,5.96,0.0,2873.89,9921.06,Stayed,,
98423-JAM,Male,67.43,No,Jammu & Kashmir,4.94,1.97,,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,51.01,2886.55,10.65,0.0,1039.5,4112.34,Stayed,,
34135-MAH,Female,20.49,No,Maharashtra,8.8,6.07,,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,72.59,1189.94,0.0,0.0,409.0,1671.35,Stayed,,
89530-KAR,Female,59.98,Yes,Karnataka,14.7,32.57,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.58,8164.08,0.0,0.0,2698.06,10531.69,Stayed,,
69173-TAM,Male,27.95,No,Tamil Nadu,8.92,27.76,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.97,19.62,0.0,0.0,31.84,50.75,Churned,Attitude,Attitude of support person
22286-HAR,Female,56.15,Yes,Haryana,6.27,35.04,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.65,98.84,0.0,0.0,39.75,142.94,Churned,Competitor,Competitor had better devices
66581-UTT,Female,73.37,Yes,Uttar Pradesh,8.36,32.01,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,97.08,2794.46,0.0,0.0,1002.58,3771.63,Stayed,,
22573-TAM,Male,47.24,No,Tamil Nadu,8.93,34.34,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.52,1486.07,0.0,0.0,806.72,2296.54,Stayed,,
25964-HAR,Male,65.4,Yes,Haryana,10.23,1.01,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,86.07,3965.22,0.0,0.0,2019.84,6280.35,Churned,Competitor,Competitor offered higher download speeds
92186-PUN,Female,41.96,No,Punjab,12.95,11.88,Deal 1,No,,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,59.42,4208.0,0.0,0.0,0.0,4024.83,Stayed,,
39892-ODI,Male,43.02,Yes,Odisha,2.97,30.67,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,112.19,3766.49,0.0,0.0,1660.99,5238.24,Stayed,,
71292-MAH,Female,17.54,No,Maharashtra,1.01,0.98,Deal 4,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.92,185.95,0.0,0.0,485.43,668.39,Stayed,,
31698-PUN,Female,20.49,Yes,Punjab,15.59,0.98,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,114.54,2342.8,0.0,125.48,796.47,3201.49,Churned,Attitude,Attitude of service provider
76182-UTT,Male,48.27,No,Uttar Pradesh,7.33,9.7,,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,39.71,1452.01,0.0,0.0,0.0,1418.25,Churned,Competitor,Competitor offered more data
73588-KER,Female,70.11,No,Kerala,13.65,29.34,,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,84.89,2218.78,0.0,0.0,889.15,3186.94,Stayed,,
59410-MAH,Male,49.4,No,Maharashtra,4.85,17.45,Deal 2,No,,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.69,1708.75,0.0,0.0,0.0,1761.29,Stayed,,
69444-JAM,Female,31.36,Yes,Jammu & Kashmir,5.17,9.83,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.76,535.39,13.04,0.0,203.07,728.52,Churned,Competitor,Competitor made better offer
66365-UTT,Female,57.67,Yes,Uttar Pradesh,9.42,4.97,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,85.63,5437.93,0.0,0.0,2848.1,8342.03,Stayed,,
66612-TEL,Female,38.39,Yes,Telangana,7.89,28.29,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.82,1535.83,0.0,0.0,687.6,2211.51,Churned,Attitude,Attitude of service provider
39181-WES,Male,55.52,Yes,West Bengal,10.33,6.97,,No,,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.91,1151.4,0.0,0.0,0.0,1149.13,Stayed,,
97688-TAM,Female,34.97,Yes,Tamil Nadu,3.89,29.46,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.89,6764.26,0.0,0.0,2501.46,9012.05,Stayed,,
71687-KER,Male,71.27,Yes,Kerala,3.98,12.45,,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.43,859.39,0.0,0.0,1217.73,2030.57,Stayed,,
34524-MAH,Female,56.45,No,Maharashtra,12.64,22.5,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,88.45,6185.83,35.54,39.25,3371.07,9023.38,Stayed,,
93739-UTT,Female,44.5,No,Uttar Pradesh,13.92,5.98,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.49,183.07,0.0,0.0,73.49,251.84,Churned,Competitor,Competitor offered higher download speeds
21662-AND,Male,78.19,Yes,Andhra Pradesh,15.69,35.25,,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,75.57,3376.28,18.51,0.0,351.88,3718.74,Stayed,,
19096-WES,Female,60.09,Yes,West Bengal,14.59,29.25,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.13,1037.71,0.0,0.0,177.13,1207.19,Churned,Attitude,Attitude of support person
72489-HAR,Female,73.64,No,Haryana,10.8,19.74,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,111.62,7536.06,0.0,0.0,1298.1,8833.94,Stayed,,
46624-WES,Female,25.23,Yes,West Bengal,13.39,26.32,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.98,81.99,0.0,0.0,1.2,84.85,Churned,Price,Lack of affordable download/upload speed
14078-MAH,Female,28.4,Yes,Maharashtra,5.99,18.56,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.93,63.44,0.0,0.0,79.77,138.1,Churned,Price,Long distance charges
34425-ASS,Male,84.24,No,Assam,0.0,20.9,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,87.31,2356.28,0.0,0.0,83.6,2588.14,Stayed,,
41236-GUJ,Female,54.33,No,Gujarat,10.17,12.36,Deal 3,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.97,531.63,0.0,0.0,351.06,858.37,Stayed,,
68369-UTT,Female,77.45,No,Uttar Pradesh,5.92,12.15,,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.23,4121.84,0.0,0.0,802.91,4697.57,Stayed,,
91027-CHH,Male,41.08,No,Chhattisgarh,4.05,20.88,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.05,2305.55,0.0,0.0,898.23,3143.82,Churned,Competitor,Competitor had better devices
85993-KAR,Female,41.58,Yes,Karnataka,11.08,0.98,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,72.11,71.53,0.0,0.0,41.68,109.3,Churned,Competitor,Competitor had better devices
12999-BIH,Female,51.89,No,Bihar,4.95,34.68,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,56.85,1121.54,0.0,0.0,590.97,1723.84,Churned,Attitude,Attitude of service provider
48768-MAD,Female,57.39,No,Madhya Pradesh,12.44,26.89,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.25,8487.5,0.0,0.0,3619.18,12493.66,Stayed,,
86994-ODI,Female,55.12,Yes,Odisha,6.92,24.22,,Yes,No,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,20.2,491.71,0.0,0.0,267.63,716.16,Stayed,,
95096-UTT,Male,37.15,No,Uttar Pradesh,0.0,31.81,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.31,1616.38,0.0,0.0,154.03,1751.69,Stayed,,
71676-GUJ,Female,17.79,No,Gujarat,2.95,5.95,,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.89,1876.5,0.0,0.0,660.94,2479.7,Stayed,,
84002-ODI,Male,79.93,No,Odisha,4.96,5.2,,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,114.75,3609.17,0.0,0.0,859.4,4449.51,Stayed,,
66612-KAR,Female,59.59,Yes,Karnataka,11.05,18.56,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.38,58.22,0.0,0.0,8.05,66.1,Joined,,
32553-TAM,Male,50.76,No,Tamil Nadu,11.37,1.04,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.47,3913.8,0.0,0.0,50.49,4122.47,Stayed,,
72664-JAM,Female,40.48,No,Jammu & Kashmir,3.96,34.99,,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,110.54,7113.72,0.0,0.0,109.07,7219.7,Stayed,,
78178-UTT,Male,23.29,Yes,Uttarakhand,5.9,0.99,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,118.92,8233.11,0.0,0.0,204.25,8769.7,Stayed,,
31311-PUN,Male,66.6,Yes,Punjab,9.39,8.01,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,90.04,616.15,0.0,0.0,297.68,921.68,Stayed,,
78389-KER,Female,50.79,No,Kerala,4.18,37.11,Deal 3,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,77.51,2070.87,0.0,0.0,1315.09,3313.56,Stayed,,
22119-WES,Male,30.74,Yes,West Bengal,5.14,5.19,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.15,33.27,0.0,0.0,3.72,37.07,Joined,,
47077-WES,Female,32.37,Yes,West Bengal,8.8,3.07,Deal 3,No,,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,34.43,878.2,0.0,0.0,0.0,859.69,Stayed,,
94522-JHA,Male,78.64,Yes,Jharkhand,0.0,25.64,,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.51,2078.71,0.0,0.0,1212.41,3172.1,Stayed,,
